Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
68,266,16.47,1312.73599052429
69,267,28.432,1329.20598983765
70,268,15.926,1357.63798904419
71,269,15.003,1373.56398868561
72,270,15.859,1388.56698894501
73,271,20.145,1404.425989151
74,272,25.137,1424.57098960876
75,273,14.709,1449.70798873901
76,274,15.624,1464.4169883728
77,275,28.331,1480.04098796844
78,276,19.872,1508.37198734283
79,277,24.548,1528.24398708344
80,278,28.801,1552.79198741913
81,279,18.642,1581.59298801422
82,280,16.67,1600.23498821259
83,281,15.784,1616.90498828888
84,282,21.104,1632.68898868561
85,283,18.791,1653.79298877716
86,284,15.682,1672.58398914337
87,285,15.859,1688.26598930359
88,286,11.95,1704.12498950958
89,287,45.843,1716.07498931885
90,288,26.93,1761.91798782349
91,289,20.254,1788.84798812866
92,290,15.207,1809.10198783875
93,291,18.08,1824.30898761749
94,292,31.946,1842.3889875412
95,293,18.136,1874.33498668671
96,294,15.598,1892.47098636627
97,295,28.967,1908.06898593903
98,296,19.358,1937.03598499298
99,297,25.159,1956.39398479462
100,298,26.842,1981.55298519135
101,299,15.735,2008.3949842453
102,300,12.301,2024.12998390198
103,301,15.698,2036.4309835434
104,302,26.097,2052.12898349762
105,303,18.622,2078.22598361969
106,304,15.763,2096.84798336029
107,305,19.962,2112.6109828949
108,306,15.588,2132.57298278809
109,307,17.373,2148.16098308563
110,308,19.346,2165.53398227692
111,309,15.461,2184.8799829483
112,310,15.926,2200.34098339081
113,311,15.711,2216.26698303223
114,312,17.403,2231.97798347473
115,313,19.419,2249.38098335266
116,314,23.253,2268.79998397827
117,315,20.679,2292.05298423767
118,316,15.398,2312.73198509216
119,317,21.305,2328.12998485565
120,318,32.173,2349.43498516083
121,319,15.683,2381.60798549652
122,320,24.355,2397.29098510742
123,321,28.811,2421.64598464966
124,322,26.045,2450.45698547363
125,323,26.487,2476.50198554993
126,324,21.352,2502.98898506165
127,325,15.871,2524.34098434448
128,326,28.664,2540.2119846344
129,327,32.252,2568.87598419189
130,328,14.924,2601.12798309326
131,329,16.405,2616.05198287964
132,330,16.221,2632.45698356628
133,331,24.907,2648.67798423767
134,332,14.675,2673.58498382568
135,333,20.056,2688.25998401642
136,334,19.833,2708.31598377228
137,335,15.848,2728.14898395538
138,336,21.917,2743.99698352814
139,337,18.155,2765.91398334503
140,338,16.474,2784.06898403168
141,339,15.791,2800.54298496246
142,340,16.573,2816.33398532867
143,341,15.048,2832.9069852829
144,342,17.905,2847.95498561859
145,343,30.323,2865.85998630524
146,344,20.919,2896.18298625946
147,345,14.804,2917.10198688507
148,346,16.269,2931.90598678589
149,347,33.497,2948.17498588562
150,348,18.884,2981.67198753357
151,349,15.53,3000.55598831177
152,350,16.078,3016.08598804474
153,351,16.112,3032.16398715973
154,352,17.861,3048.27598667145
155,353,14.287,3066.13698673248
156,354,16.344,3080.42398643494
157,355,19.178,3096.76798629761
158,356,20.448,3115.94598579407
159,357,15.98,3136.39398574829
160,358,32.059,3152.37398529053
161,359,25.234,3184.43298339844
162,360,28.22,3209.66698265076
163,361,23.579,3237.88698196411
164,362,14.412,3261.46598243713
165,363,16.768,3275.87798213959
166,364,19.634,3292.64598178864
167,365,20.654,3312.27998256683
168,366,18.971,3332.93398189545
169,367,17.643,3351.90498256683
170,368,35.289,3369.54798221588
171,369,19.513,3404.83698368073
172,370,11.837,3424.34998416901
173,371,15.875,3436.18698406219
174,372,15.981,3452.06198406219
175,373,17.341,3468.04298400879
176,374,14.621,3485.38398361206
177,375,16.612,3500.00498390198
178,376,27.927,3516.6169834137
179,377,21.772,3544.54398345947
180,378,13.696,3566.3159828186
181,379,20.334,3580.01198291779
182,380,15.583,3600.34598255157
183,381,16.519,3615.92898273468
184,382,19.636,3632.44798183441
185,383,17.619,3652.08398151398
186,384,14.295,3669.70298099518
187,385,16.208,3683.99798107147
188,386,16.259,3700.20598125458
189,387,15.944,3716.46498203278
190,388,29.18,3732.40898227692
191,389,18.334,3761.58898258209
192,390,16.609,3779.92298221588
193,391,20.382,3796.5319814682
194,392,15.198,3816.91398143768
195,393,20.505,3832.11198139191
196,394,15.811,3852.61698055267
197,395,20.183,3868.42798042297
198,396,40.651,3888.61098098755
199,397,20.132,3929.26198196411
200,398,29.215,3949.39398193359
201,399,21.605,3978.60898208618
202,400,16.012,4000.21398162842
203,401,24.115,4016.22598075867
204,402,15.86,4040.34098052979
205,403,17.569,4056.20098018646
206,404,34.587,4073.7699804306
207,405,20.016,4108.35698223114
208,406,23.493,4128.37298297882
209,407,21.554,4151.86598300934
210,408,15.004,4173.41998386383
211,409,16.234,4188.42398357391
212,410,15.743,4204.65798282623
213,411,11.932,4220.40098285675
214,412,20.226,4232.33298301697
215,413,15.853,4252.55898284912
216,414,17.432,4268.41198253632
217,415,14.447,4285.84398174286
218,416,16.759,4300.29098129272
219,417,19.452,4317.04998207092
220,418,33.791,4336.50198173523
221,419,30.302,4370.29298210144
222,420,15.573,4400.59498214722
223,421,24.487,4416.16798210144
224,422,15.705,4440.65498161316
225,423,15.786,4456.35998153687
226,424,17.518,4472.14598178864
227,425,14.259,4489.66398143768
228,426,12.39,4503.92298126221
229,427,19.959,4516.31298160553
230,428,20.146,4536.27198123932
231,429,25.928,4556.41798114777
